#32.80,0,0,9.3,449.875,0,0.2025,1.24125
#32.81,0,0,9.3,449.875,0,0.20125,1.24125
#32.82,0,0,9.3,449.875,0,0.20125,1.24375
#32.83,0,0,9.3,449.875,0,0.2025,1.245
#32.84,0,0,9.3,449.875,0,0.2025,1.22875
#32.85,0,0,9.3,449.875,0.00125,0.20375,1.23875
#32.86,0,0,9.3,449.875,0,0.205,1.23875
#32.87,0,0,9.3,449.875,0,0.20125,1.24125
#32.88,0,0,9.3,449.875,0,0.20125,1.2375
#32.89,0,0,9.3,449.875,0,0.2025,1.22875
#32.90,0,0,9.3,449.875,0,0.20375,1.23625
#32.91,0,0,9.3,449.875,-0.00125,0.20125,1.23875
#32.92,0,0,9.3,449.875,0,0.20125,1.24375
#32.94,0,0,9.3,449.875,0,0.2025,1.24125
#32.95,0,0,9.3,449.875,0,0.2025,1.23625
#32.96,0,0,9.3,449.875,0,0.20125,1.24125
#32.97,0,0,9.3,449.875,0,0.2,1.24
#32.98,0,0,9.3,449.875,0,0.2,1.2425
#32.99,0,0,9.3,449.875,-0.00125,0.2025,1.23125
#33.00,0,0,9.3,449.875,0,0.2025,1.23625
#33.01,0,0,9.3,449.875,0,0.19875,1.24
#33.02,0,0,9.3,449.875,0,0.2,1.24125
#33.03,0,0,9.3,449.875,0,0.2025,1.23625
#33.04,0,0,9.3,449.875,0,0.2025,1.22875
#33.05,0,0,9.3,449.875,0.00125,0.2025,1.23375
#33.06,0,0,9.3,449.875,0,0.20125,1.23875
#33.07,0,0,9.3,449.875,0,0.2,1.24
#33.08,0,0,9.3,449.875,0,0.20125,1.24
#33.10,0,0,9.3,449.875,0,0.20375,1.23125
#33.11,0,0,9.3,449.875,0,0.2,1.24125
#33.12,0,0,9.3,449.875,0,0.2025,1.23875
#33.13,0,0,9.3,449.875,0,0.20125,1.24
#33.14,0,0,9.3,449.875,0,0.20125,1.23
#33.15,0,0,9.3,449.875,0,0.2025,1.23875
#33.16,0,0,9.3,449.875,0.00125,0.20375,1.2425
#33.17,0,0,9.3,449.875,0,0.20125,1.2425
#33.18,0,0,9.3,449.875,0,0.20125,1.2475
#33.19,0,0,9.3,449.875,0,0.20125,1.23
#33.20,0,0,9.3,449.875,0,0.20125,1.23375
#33.21,0,0,9.3,449.875,0,0.2,1.24
#33.22,0,0,9.3,449.875,0,0.20125,1.24
#33.23,0,0,9.3,449.875,0,0.20375,1.23875
#33.24,0,0,9.3,449.875,0,0.1975,1.23
#33.25,0,0,9.3,449.875,0.00125,0.20125,1.23375
#33.26,0,0,9.3,449.875,0,0.20125,1.24125
#33.27,0,0,9.3,449.875,0,0.2,1.24125
#33.28,0,0,9.3,449.875,0,0.20375,1.24
#33.29,0,0,9.3,449.875,0,0.2,1.23125
#33.30,0,0,9.3,449.875,-0.00125,0.20125,1.23
#33.32,0,0,9.3,449.875,0.00125,0.20125,1.24
#33.33,0,0,9.3,449.875,0,0.2,1.24125
#33.34,0,0,9.3,449.875,0.00125,0.20125,1.23125
#33.35,0,0,9.3,449.875,0.00125,0.20125,1.23625
#33.36,0,0,9.3,449.875,0,0.2,1.24
#33.37,0,0,9.3,449.875,0,0.2,1.2425
#33.38,0,0,9.3,449.875,-0.00125,0.2025,1.24125
#33.39,0,0,9.3,449.875,0,0.20125,1.2325
#33.40,0,0,9.3,449.875,0,0.2,1.235
#33.41,0,0,9.3,449.875,0,0.2025,1.24
#33.42,0,0,9.3,449.875,0,0.2,1.24125
#33.43,0,0,9.3,449.875,0,0.2025,1.2325
#33.44,0,0,9.3,449.875,0,0.2025,1.22875
#33.46,0,0,9.3,449.875,0,0.20125,1.23375
#33.47,0,0,9.3,449.875,0,0.2025,1.2375
#33.47,0,0,9.3,449.875,0,0.2025,1.24125
#33.49,0,0,9.3,449.875,0,0.20125,1.24125
#33.49,0,0,9.3,449.875,0,0.2025,1.23125
#33.51,0,0,9.3,449.875,0,0.2,1.2325
#33.51,0,0,9.3,449.875,0.00375,0.20125,1.2425
#33.53,0,0,9.3,449.875,-0.00125,0.20125,1.24125
#33.53,0,0,9.3,449.875,0,0.20125,1.245
#33.54,0,0,9.3,449.875,-0.00125,0.20125,1.23125
#33.56,0,0,9.3,449.875,0,0.2025,1.23875
#33.56,0,0,9.3,449.875,0.00125,0.2,1.2425
#33.58,0,0,9.3,449.875,0,0.2025,1.24
#33.58,0,0,9.3,449.875,0.00125,0.2,1.24375
#33.60,0,0,9.3,449.875,0,0.2025,1.22875
#33.60,0,0,9.3,449.875,0,0.20375,1.235
#33.62,0,0,9.3,449.875,0,0.2025,1.23875
#33.63,0,0,9.3,449.875,0,0.20125,1.23875
#33.63,0,0,9.3,449.875,0,0.2025,1.23875
#33.65,0,0,9.3,449.875,0,0.20125,1.23
#33.65,0,0,9.3,449.875,-0.00125,0.20125,1.23375
#33.67,0,0,9.3,449.875,0,0.2,1.24
#33.67,0,0,9.3,449.875,0,0.2025,1.24375
